0,0,0,0,0,0,0,0,0,1,1
2,2,0,0,0,0,0,1,1,1,1
2,2,2,2,2,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,3,3,3,0,0,0,0,4,4,4
3,3,3,3,3,3,0,4,4,0,0
0,0,0,3,3,3,0,0,4,0,0
5,5,5,3,3,3,0,0,0,0,0
5,0,0,0,0,0,3,3,3,3,3
3,3,3,3,3,3,0,0,0,0,3
3,3,3,3,3,0,0,0,0,3,3
0,0,0,0,0,0,6,6,0,3,3
0,0,7,7,7,3,3,3,3,3,0
0,0,0,0,0,0,3,3,3,3,3
8,8,8,8,8,8,3,3,3,3,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,9,9,9,9,9,9,0
0,0,0,0,0,9,9,9,9,9,9
10,10,10,10,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,9,9,9
11,11,11,11,11,0,0,0,9,9,9
11,11,0,0,0,0,0,9,9,9,9
0,0,0,0,0,0,0,0,0,0,9
12,12,0,0,13,13,13,13,13,9,0
0,0,0,9,9,9,9,0,0,0,0
0,14,9,9,9,0,0,0,0,0,0
0,0,0,9,0,0,0,15,15,15,15
16,16,0,0,0,0,0,0,0,15,15
16,16,0,0,0,17,17,17,15,0,0
0,16,16,16,0,0,15,0,0,0,18
16,0,0,16,16,15,0,0,0,18,0
0,0,0,15,15,15,15,15,0,0,18
19,19,19,15,15,15,0,0,0,18,18
